@relation mididateWEKA
@attribute s1 {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
@attribute s2 {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
@attribute a {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute a1 {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute a2 {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute t {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute t1 {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute t2 {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute b {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}
@attribute b1 {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}
@attribute b2 {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}

@data
66,67,62,60,59,55,50,50,47,45,43
67,71,60,59,62,50,50,50,45,43,50
71,69,59,62,62,50,50,54,43,50,50
69,67,62,62,59,50,54,55,50,50,43
67,72,62,59,60,54,55,52,50,43,45
72,67,59,60,62,55,52,55,43,45,47
67,64,60,62,60,52,55,55,45,47,48
64,67,62,60,62,55,55,57,47,48,41
67,65,60,62,62,55,57,57,48,41,41
65,64,62,62,60,57,57,55,41,41,43
64,60,62,60,60,57,55,52,41,43,45
60,62,60,60,59,55,52,55,43,45,43
62,64,60,59,60,52,55,55,45,43,48
64,67,59,60,60,55,55,55,43,48,52
67,66,60,60,62,55,55,57,48,52,50
66,67,60,62,62,55,57,55,52,50,47
67,71,62,62,62,57,55,55,50,47,50
71,69,62,62,66,55,55,62,47,50,50
69,67,62,66,62,55,62,59,50,50,55
67,69,66,62,65,62,59,60,50,55,53
69,67,62,65,67,59,60,60,55,53,52
67,69,65,67,65,60,60,53,53,52,50
69,71,67,65,65,60,53,53,52,50,50
71,72,65,65,64,53,53,55,50,50,48
72,67,65,64,62,53,55,55,50,48,47
67,65,64,62,62,55,55,57,48,47,50
65,65,62,62,60,55,57,57,47,50,50
65,64,62,60,59,57,57,56,50,50,52
64,65,60,59,62,57,56,57,50,52,50
65,65,59,62,60,56,57,57,52,50,45
65,67,62,60,62,57,57,55,50,45,47
67,64,60,62,60,57,55,55,45,47,48
